weekday,hour,tweet_length,mentions_count,urls_count,photos_count,hashtags_count,quote_url_count,video_count,retweets_count,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive
Thursday,0,231,2,121,51,2,,1,0,0,0,0,0,0,1,0,0,1,0
Wednesday,23,83,2,2,2,2,,0,0,1,0,1,1,0,1,0,0,2,0
Wednesday,23,163,2,27,51,2,,1,0,0,0,0,0,0,0,0,0,0,1
Wednesday,23,74,2,129,2,2,,0,0,0,0,0,0,0,0,0,0,0,0
Wednesday,22,252,2,58,2,2,,0,0,0,0,0,0,1,0,0,1,0,3
Wednesday,21,91,2,2,2,2,,0,0,0,0,0,0,0,0,0,0,0,0
Wednesday,21,138,2,27,2,2,,0,0,0,0,0,0,0,0,0,0,0,1
Wednesday,20,49,2,2,2,2,,0,0,0,0,0,0,0,0,0,0,0,0
Wednesday,19,107,2,2,2,2,,0,0,0,1,0,0,1,0,1,1,0,1
Wednesday,19,170,2,2,2,2,,0,0,1,0,0,1,2,0,0,0,1,3
Wednesday,18,148,2,2,2,2,,0,0,0,0,0,0,1,0,0,1,0,2
Wednesday,18,272,2,2,2,2,,0,0,1,3,1,1,3,1,2,3,2,6
Wednesday,18,220,2,2,2,2,,0,0,0,0,0,0,0,0,0,0,0,0
Wednesday,17,223,2,2,51,54,,1,0,0,0,0,0,0,0,0,0,0,1
Wednesday,10,116,2,2,2,2,,0,0,0,0,0,1,0,0,0,0,1,0
Wednesday,4,56,2,2,2,2,,0,0,0,0,0,0,0,0,0,0,0,0
Wednesday,3,162,2,2,51,2,,1,0,0,0,0,1,0,0,0,0,0,0
Wednesday,2,47,2,2,2,2,,0,0,0,0,0,0,0,0,0,0,0,0
Wednesday,2,180,2,2,102,2,,1,0,0,2,1,0,2,0,1,2,1,2
Wednesday,1,120,2,2,2,2,,0,0,0,0,0,0,0,1,0,0,2,0
Wednesday,0,57,2,2,51,2,,1,0,0,0,0,0,0,0,0,0,0,0
Wednesday,0,144,2,2,2,2,59.0,0,0,0,0,0,0,1,0,0,1,0,1
Tuesday,23,102,2,2,51,17,,1,0,0,0,0,0,0,0,0,0,0,0
Tuesday,23,118,2,2,2,2,,0,0,0,0,0,0,0,0,0,1,0,1
Tuesday,23,107,2,2,51,2,,1,0,0,1,0,0,0,0,0,1,0,2
Tuesday,22,67,2,60,2,2,,0,0,0,0,0,0,0,0,0,0,0,0
Tuesday,21,255,2,2,2,2,,0,0,0,1,1,1,1,1,1,1,2,3
Tuesday,21,121,2,58,2,2,,1,0,0,0,0,0,0,0,0,0,0,0
Tuesday,20,151,2,2,2,2,,0,0,1,1,0,1,2,1,0,2,1,2
Tuesday,20,96,2,2,2,2,,0,0,0,0,0,0,0,0,0,0,0,0
Tuesday,20,190,2,27,51,18,,1,0,0,0,0,0,0,1,0,0,0,3
Tuesday,20,117,2,2,51,2,,1,0,0,0,0,0,0,0,0,0,0,0
Tuesday,18,56,2,2,2,2,,0,0,0,0,0,0,0,0,0,0,0,0
Tuesday,10,134,2,2,2,2,,0,0,0,0,0,0,1,0,0,1,0,1
Tuesday,5,70,2,2,51,2,,1,0,0,0,0,1,0,0,0,0,0,0
Tuesday,3,154,2,2,51,2,,1,0,1,1,1,1,1,1,1,1,2,1
Tuesday,2,259,2,2,51,2,,1,0,0,1,0,0,2,0,1,1,0,2
Tuesday,1,250,2,2,2,2,,0,0,1,0,0,0,2,0,0,1,1,2
Tuesday,1,72,2,2,2,2,,0,0,0,0,0,0,0,0,0,0,0,1
Tuesday,1,232,2,60,2,2,,0,0,0,1,0,0,1,0,1,1,0,1
Tuesday,1,80,2,175,2,2,,0,0,0,0,0,0,0,0,0,0,0,0
Tuesday,1,200,2,83,2,36,,0,0,0,1,0,0,1,0,0,3,1,2
Tuesday,0,63,2,2,2,2,,0,0,0,0,0,0,0,0,0,0,0,0
Tuesday,0,36,2,2,2,2,,0,0,0,0,0,0,1,0,0,0,0,1
Tuesday,0,150,2,63,2,79,,0,0,0,0,0,0,0,0,0,0,0,1
Tuesday,0,131,2,2,2,2,,0,0,0,2,0,1,2,0,1,1,0,3
Tuesday,0,308,2,2,63,18,,1,0,1,0,0,1,1,0,1,1,2,1
Monday,21,313,77,2,51,2,,1,0,1,3,0,1,3,1,2,3,2,5
Monday,20,118,2,2,2,2,,0,0,0,0,0,0,0,0,0,0,0,0
Monday,20,114,2,60,51,29,,1,0,0,0,0,0,0,0,0,0,0,0
Monday,19,150,2,2,51,2,,1,0,0,0,0,0,0,0,0,0,0,0
Monday,14,66,2,2,2,2,,0,0,1,0,0,0,0,0,0,0,0,0
Monday,5,260,2,2,2,2,,0,0,0,0,0,0,1,0,0,1,1,1
Monday,5,134,2,2,2,2,,0,0,0,2,0,0,1,0,1,2,0,2
Monday,4,197,2,2,2,2,,0,0,0,0,1,0,0,1,0,0,0,2
Monday,4,177,2,2,51,2,,1,0,0,0,0,0,0,0,0,0,0,2
Monday,3,150,2,2,102,2,,1,0,0,0,0,1,1,0,0,0,0,1
Monday,2,88,2,2,51,2,,1,0,0,0,0,0,0,0,0,0,0,1
Monday,0,96,2,122,2,2,,0,0,0,1,0,0,1,1,1,1,0,1
Monday,0,289,80,2,2,2,,0,0,0,0,0,0,0,0,0,0,0,1
Sunday,23,53,2,2,2,2,,0,0,0,0,0,0,0,0,0,0,0,2
Sunday,23,77,2,2,2,2,,0,0,0,1,0,0,0,0,0,0,0,1
Sunday,22,252,2,27,102,2,,1,0,0,0,0,0,1,0,0,0,0,1
Sunday,22,253,2,27,102,2,,1,0,0,1,0,0,2,1,2,2,2,4
Sunday,22,240,2,2,2,2,,0,0,2,1,1,1,1,0,1,1,2,1
Sunday,22,55,2,2,2,2,,0,0,0,0,0,1,0,0,0,0,0,0
Sunday,21,65,2,2,102,2,,1,0,0,0,0,0,0,0,0,0,0,0
Sunday,21,116,2,2,2,2,,0,0,0,0,0,2,0,0,0,0,1,0
Sunday,21,136,2,91,2,2,,0,0,0,0,0,1,0,0,0,0,0,1
Sunday,21,283,2,44,51,20,,1,0,0,1,0,1,0,0,0,1,1,0
Sunday,21,58,2,2,2,2,,0,0,0,0,0,0,1,0,0,1,0,1
Sunday,20,175,2,60,51,31,,1,0,0,0,0,0,0,0,0,0,0,0
Sunday,20,178,2,2,2,24,,0,0,0,1,0,0,1,0,0,0,0,3
Sunday,20,48,2,2,2,2,,0,0,0,0,0,0,0,0,0,0,0,1
Sunday,19,125,2,2,51,2,,1,0,0,1,0,0,1,0,1,1,0,2
