"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"163",2,0,1,1,0,0,0,1,2,0
"164",0,0,0,0,0,0,0,0,0,1
"165",1,0,0,0,0,0,0,0,1,0
"166",0,0,0,1,0,0,0,0,1,0
"167",0,0,0,1,0,0,0,0,0,1
"168",0,0,0,0,0,0,0,0,0,0
"169",0,0,0,0,0,0,0,0,0,0
"170",0,0,0,0,0,0,1,0,1,0
"171",0,0,0,0,0,0,0,0,0,0
"172",0,0,0,0,0,0,0,0,0,4
"173",0,0,0,0,0,0,0,0,0,0
"174",0,1,0,0,1,0,0,1,0,1
"175",2,2,3,2,2,2,1,2,3,2
"176",1,2,0,0,2,0,1,1,0,2
"177",0,0,0,0,0,0,0,0,0,1
"178",0,0,0,0,0,0,0,0,0,1
"179",0,0,0,0,0,0,0,0,0,0
"180",1,0,0,2,0,1,1,1,2,0
"181",0,0,0,0,0,0,0,0,0,0
"182",0,0,0,0,1,0,0,2,0,2
"183",0,0,0,0,0,0,0,0,0,0
"184",1,1,0,1,0,2,0,0,2,0
"185",0,0,0,0,1,0,0,1,0,1
"186",0,0,0,0,0,0,0,0,0,0
"187",0,0,0,0,0,0,0,0,0,1
"188",0,0,0,0,0,0,0,0,0,0
"189",0,0,1,1,0,0,0,0,1,0
"190",0,1,0,0,2,0,0,1,0,2
"191",0,0,0,0,1,0,0,2,0,2
"192",0,0,0,1,0,1,0,0,0,3
"193",0,0,0,0,0,0,0,0,0,2
"194",0,0,0,0,0,0,0,1,0,2
"195",0,0,0,0,0,0,0,0,0,0
"196",0,0,0,0,1,0,1,1,0,2
"197",1,1,0,1,2,1,1,2,1,5
"198",0,1,0,0,1,0,1,1,0,1
"199",0,0,1,0,0,0,0,3,1,2
"200",0,0,0,0,2,0,0,1,0,2
"201",0,0,0,0,0,0,0,0,1,1
"202",0,0,0,0,0,0,0,0,0,0
"203",0,0,0,0,1,0,0,1,0,2
"204",0,1,0,1,1,0,0,2,0,2
"205",0,0,0,0,1,0,0,0,1,1
"206",0,2,0,0,2,2,0,2,2,2
"207",0,1,0,0,1,0,0,1,0,1
"208",0,0,0,0,0,1,1,0,1,2
"209",0,1,0,0,1,0,2,1,1,1
"210",0,1,0,0,1,0,0,0,1,1
"211",0,0,0,0,1,0,0,2,0,2
"212",0,1,0,0,1,0,1,1,1,1
"213",0,0,0,0,1,0,0,1,0,1
"214",0,0,0,1,3,1,0,1,2,3
"215",0,0,0,0,1,0,0,0,1,1
"216",0,1,0,1,2,0,1,1,1,2
"217",0,1,0,0,1,0,0,1,0,2
"218",0,1,0,0,1,0,1,1,0,2
"219",0,0,0,0,0,0,0,0,0,1
"220",0,0,0,0,0,0,0,0,0,0
"221",0,2,0,0,2,0,1,0,0,2
"222",0,0,0,0,1,0,0,0,0,4
"223",0,0,0,0,0,0,1,2,2,2
"224",0,1,0,0,2,0,1,1,0,2
"225",0,1,0,0,1,0,1,1,0,2
"226",0,3,0,0,3,0,2,3,0,5
"227",0,0,0,0,0,0,0,0,0,1
"228",0,0,0,0,1,0,0,0,0,1
"229",0,0,0,0,0,0,0,0,0,1
"230",0,0,0,0,1,0,0,0,0,1
"231",0,0,0,0,1,0,1,0,1,1
"232",0,0,0,0,0,0,0,1,0,1
"233",0,0,0,0,0,0,0,0,0,1
"234",0,0,0,0,0,0,0,0,0,2
"235",0,2,0,0,2,0,1,2,0,2
"236",0,0,0,0,0,0,0,0,0,0
"237",0,0,0,0,0,0,0,0,0,0
"238",0,0,0,1,1,1,1,1,2,2
"239",0,2,1,1,2,0,0,2,2,3
"240",0,1,0,0,1,0,2,1,1,1
"241",0,1,0,0,0,0,0,1,0,1
"242",0,3,0,0,4,1,2,3,0,4
"243",0,0,0,0,0,0,1,0,1,1
"244",0,0,0,0,0,0,0,0,1,0
"245",0,1,0,0,2,1,1,2,1,3
"246",0,1,0,1,0,0,1,1,0,1
