id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1.47432E+18,1.47432E+18,2021-12-24 10:57:58 W. Europe Standard Time,24/12/2021,10:57:58,100,20098015,davidschneider,David Schneider,,"✅ 4% off GDP ✅ £12bn lost every month ✅ Food rotting on farms ✅ Fishing, farming, exporters screwed ✅ Businesses going to the wall ✅ Empty shelves ✅ NI peace threatened ✅ Fuel shortages ✅ Actual shit in rivers  Happy anniversary to our wonderful Brexit deal",en,[],[],[],397,2660,11608,[],[],https://twitter.com/davidschneider/status/1474318422230159361,FALSE,,0,,,,,,,,[],,,,
1.47428E+18,1.47428E+18,2021-12-24 08:39:30 W. Europe Standard Time,24/12/2021,08:39:30,100,1.18602E+18,studio_0613,스튜디오,,"reminder to keep yourselves well hydrated and fueled with food!! (maybe sneak some vitamin c in too)  also if you haven't already done so, please get vaccinated and/or the booster! i got boosted(??) in early nov :) gorgeousgorgeous armys get vaccinated and wear masks😚",en,[],[],[],28,2019,5549,[],[],https://twitter.com/STUDIO_0613/status/1474283579555430401,FALSE,,0,,,,,,,,[],,,,
1.47428E+18,1.47428E+18,2021-12-24 08:14:18 W. Europe Standard Time,24/12/2021,08:14:18,100,219853710,rabkairahas,AkbarSahari,,"Allahuakbar! Abg2 Grab, F Panda, Shopee Food, Lalamove sanggup tinggalkan tugas hakiki demi bantu NGO hantar makanan &amp; keperluan kpd mangsa banjir di Hulu Langat. Dr pagi smpi mlm. Gaji zero tapi pahala 100% Insyallah.   Today ke perkampungan org Asli…  https://t.co/U4FokxhZUv",in,[],[],[],124,19319,20270,[],[],https://twitter.com/rabkairahas/status/1474277238023458816,FALSE,,1,https://pbs.twimg.com/ext_tw_video_thumb/1474277145941659648/pu/img/JzTa7L-obrlMYV_H.jpg,,,,,,,[],,,,
1.47421E+18,1.47421E+18,2021-12-24 03:35:54 W. Europe Standard Time,24/12/2021,03:35:54,100,101042844,sachinsingh1010,Sachin Singh,,"#Kapurthala was a cold blooded murder...it's criminal to call it lynching, post-mortem report reveals gruesome details 25 to 30 deep, sharp cuts on body, fractured skull, neck was slit deep, wind pipe, food pipe, and veins were cut...book the accused for murder @PunjabPoliceInd  https://t.co/netVh7v2gU",en,"[{'screen_name': 'punjabpoliceind', 'name': 'punjab police india', 'id': '4636907065'}]",[],[],403,3384,4960,['kapurthala'],[],https://twitter.com/sachinsingh1010/status/1474207174272241673,FALSE,,1,https://pbs.twimg.com/ext_tw_video_thumb/1474206651666341888/pu/img/Ne1siEv-hr1Ybprk.jpg,,,,,,,[],,,,
1.47414E+18,1.47414E+18,2021-12-23 23:04:50 W. Europe Standard Time,23/12/2021,23:04:50,100,954470334,harlemmc,🇩🇴 DMs closed - y’all can’t follow instructions,,"Let me tell y’all something. Regardless of whether you’re vaccinated or not, we are not romantically compatible if you have a problem sneaking food into the movies.  https://t.co/61PFEfq5iz",en,[],[],['https://pbs.twimg.com/media/FHUxkfYWQAY7Z5p.jpg'],42,2555,11076,[],[],https://twitter.com/HarlemMC/status/1474138959672492042,FALSE,,1,https://pbs.twimg.com/media/FHUxkfYWQAY7Z5p.jpg,,,,,,,[],,,,
1.47408E+18,1.47408E+18,2021-12-23 19:15:27 W. Europe Standard Time,23/12/2021,19:15:27,100,58884304,chump_dick,Chumpy!🔍,,"HR having a pizza party instead of addressing problems, but on the national level",en,[],[],[],41,1725,16410,[],[],https://twitter.com/chump_dick/status/1474081231843254273,FALSE,https://twitter.com/MrsT106/status/1474048541911916544,0,,,,,,,,[],,,,
1.47404E+18,1.47404E+18,2021-12-23 16:35:51 W. Europe Standard Time,23/12/2021,16:35:51,100,1.36486E+18,edwinmasripan,Edwin Masripan // Nerd Marketer + Designer,,"Azwan Omar.  With RM 50 in his pocket, RM20 for boat fuel, RM30 for food, he towed 150km boat on his Viva to help Search and Rescue mission.  What's our excuse?  https://t.co/dCSmETqeRQ",en,[],[],['https://pbs.twimg.com/media/FHTYiMlUcAAusVa.jpg'],52,12047,18631,[],[],https://twitter.com/edwinmasripan/status/1474041067087413251,FALSE,,1,https://pbs.twimg.com/media/FHTYiMlUcAAusVa.jpg,,,,,,,[],,,,
1.47404E+18,1.47404E+18,2021-12-23 16:35:21 W. Europe Standard Time,23/12/2021,16:35:21,100,92942408,folasanwo,Fola Olatunji-David,,"Please read carefully before responding.   If you know anyone in Lagos who has a baby that was born premature and the baby is still under 6 months, my family would like to give them 1 month worth of baby food and diapers.  DMs are open for 6 families/babies.",en,[],[],[],19,1531,1157,[],[],https://twitter.com/folasanwo/status/1474040943691108358,FALSE,,0,,,,,,,,[],,,,
1474506135835185152,1474506135835185152,2021-12-24 23:23:52 W. Europe Standard Time,2021-12-24,23:23:52,+0100,1378158598023430150,miiriya1,Miiriya,,"I created an app that lets you shop Black Owned Businesses on one app. It’s not perfect yet, but please download if you can. You can browse &amp; shop Black Art, Fashion, Food, Beauty, Spiritual Shops &amp; much more. Continuing to improve! For the holidays, just a share would mean a lot",en,[],[],[],21,2810,4097,[],[],https://twitter.com/miiriya1/status/1474506135835185152,False,,0,,,,,,,,[],,,,
1474465660491210754,1474465660491210754,2021-12-24 20:43:02 W. Europe Standard Time,2021-12-24,20:43:02,+0100,87371781,imani_barbarin,"Imani Barbarin, MAGC | Crutches&Spice ♿️",,"When you think how integral food is to culture, community, family, you can see why this would devastate someone.",en,[],[],[],96,6678,30993,[],[],https://twitter.com/Imani_Barbarin/status/1474465660491210754,False,https://twitter.com/antifatwa/status/1474169840021778437,0,,,,,,,,[],,,,
1474448896382410756,1474448896382410756,2021-12-24 19:36:25 W. Europe Standard Time,2021-12-24,19:36:25,+0100,117777690,jeremycorbyn,Jeremy Corbyn,,"It's a disgrace how many people are going hungry this Christmas and a direct result of wrong Tory priorities.  The Trussell Trust gave out 2.5 m. emergency food parcels last year and predicts it will give out 7,000 a day this month.  We need real action for people’s #righttofood.",en,[],[],[],317,3262,13561,['righttofood'],[],https://twitter.com/jeremycorbyn/status/1474448896382410756,False,,0,,,,,,,,[],,,,
1474434665775775747,1474434665775775747,2021-12-24 18:39:52 W. Europe Standard Time,2021-12-24,18:39:52,+0100,1145710058766000133,sherzcapone00,‘,,Me walking into the kitchen to check on the food I played no part in preparing  https://t.co/n6oJH2pX6f,en,[],[],[],52,3078,14856,[],[],https://twitter.com/SherzCapone00/status/1474434665775775747,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1474434373692932105/pu/img/8hU2F8dX2BIITvZj.jpg,,,,,,,[],,,,
1474431122465595397,1474431122465595397,2021-12-24 18:25:47 W. Europe Standard Time,2021-12-24,18:25:47,+0100,17768442,karenkho,Karen K. Ho,,"If you are ordering Chinese food or other kinds of takeout this week, please tip at least 30%. On Christmas Eve and Christmas Day, tip 50% or more. Yes, even for takeout. Tip generously for the time away from their families, for Omicron, for extra PPE, for all the crap of 2021.",en,[],[],[],3,6777,46083,[],[],https://twitter.com/karenkho/status/1474431122465595397,False,,0,,,,,,,,[],,,,
1474408796499943424,1474408796499943424,2021-12-24 16:57:04 W. Europe Standard Time,2021-12-24,16:57:04,+0100,992732471455371265,ghibliaccount,Studio Ghibli,,Ghibli food  https://t.co/Qt85MZCXnq,en,[],[],"['https://pbs.twimg.com/media/FHYm-2KX0AQOeDK.jpg', 'https://pbs.twimg.com/media/FHYm-2GXMAguT3Q.jpg', 'https://pbs.twimg.com/media/FHYm-2HWYAcUK_t.jpg', 'https://pbs.twimg.com/media/FHYm-2XWQAMYXkW.jpg']",46,6213,35820,[],[],https://twitter.com/GhibliAccount/status/1474408796499943424,False,,1,https://pbs.twimg.com/media/FHYm-2KX0AQOeDK.jpg,,,,,,,[],,,,
