"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"644",0,0,0,0,0,0,1,0,1,1
"645",0,0,0,0,1,0,0,1,1,1
"646",0,2,1,0,3,0,2,1,1,4
"647",0,0,0,0,1,0,0,1,0,1
"648",0,1,0,0,1,0,0,1,0,1
"649",1,0,0,0,0,0,1,0,1,1
"650",0,1,0,0,4,0,1,0,0,4
"651",0,3,0,0,2,0,1,0,1,3
"652",0,0,0,0,1,0,0,1,0,1
"653",1,0,0,0,3,1,0,0,1,4
"654",0,0,0,0,1,0,0,0,0,2
"655",0,1,0,0,2,0,0,0,0,3
"656",0,4,0,2,7,1,0,5,1,8
"657",0,0,0,1,0,0,0,0,1,1
"658",0,0,0,0,2,0,0,0,0,4
"659",0,1,0,1,2,1,0,1,1,2
"660",0,1,0,1,2,1,0,1,1,2
"661",0,0,0,0,0,0,0,0,1,0
"662",0,0,0,1,1,1,0,0,1,1
"663",0,0,0,0,3,1,0,0,0,4
"664",1,2,0,0,5,0,1,2,1,5
"665",0,0,0,0,1,0,0,2,0,3
"666",0,0,0,0,1,0,0,0,0,2
"667",0,0,0,0,1,0,0,0,0,2
"668",0,1,0,0,1,0,1,0,0,1
"669",1,0,1,0,1,0,0,0,1,1
"670",0,0,0,0,0,0,0,0,0,0
"671",1,0,0,0,0,1,0,0,2,0
"672",1,0,0,0,1,0,0,0,1,1
"673",0,0,0,0,2,0,0,0,0,3
"674",0,1,0,0,1,0,0,0,0,1
"675",0,1,0,0,3,0,0,1,0,4
"676",0,0,0,0,2,1,0,2,0,3
"677",0,0,0,0,1,0,0,0,1,1
"678",0,1,0,0,2,0,0,2,1,4
"679",0,1,3,0,2,0,1,1,3,3
"680",0,0,0,0,0,0,0,0,0,0
"681",0,0,0,0,1,0,0,0,0,3
"682",0,0,0,0,1,0,0,1,0,1
"683",0,1,0,0,1,0,0,1,1,2
"684",1,0,1,1,0,1,0,1,1,0
"685",1,1,0,0,0,0,0,1,1,0
"686",0,0,0,0,1,0,0,1,0,2
"687",0,0,0,0,0,0,0,0,1,0
"688",2,0,1,2,0,1,1,0,2,0
"689",0,2,0,0,1,0,1,0,0,1
"690",0,0,0,0,3,1,0,0,0,3
